date,st,lo,mi,hi
2000-08-20,2,0.2255526128591454,0.45818905171378566,0.7501173957409778
2000-08-20,3,0.28285054243693725,0.49588241518050885,0.7327046986367076
2000-08-20,4,0.2852896943397163,0.5049581882258649,0.7675089932666447
2001-06-20,1,0.20960812320160815,0.47677251521298925,0.7680895081111389
2001-06-20,2,0.2688174085442306,0.5179825993948449,0.8035465226762238
2001-06-20,3,0.36154252198530157,0.5551134288153814,0.7852368267191697
2001-06-20,4,0.3300030149489662,0.5738788465805538,0.8270941903823715
2001-08-20,1,0.27267992651678596,0.5585155658673163,0.8522402226396645
2001-08-20,2,0.3543427151604289,0.6165107210992735,0.8643425347251905
2001-08-20,3,0.5455022182426792,0.7453720596792198,0.9139888723944498
2001-08-20,4,0.46712620702750635,0.7183085734004286,0.9119804321250837
2002-06-20,1,0.36029251777035026,0.6512795748695603,0.8817471414372163
