date,basin,lo,mi,hi
2010-08-20,north,0.9211310330737453,1.281313388356923,1.725398168871024
2011-06-20,south,0.8806205728191265,2.1641914991405042,4.208352258156804
2011-06-20,north,0.2781813853226576,0.5072408674851026,0.8035544561589307
2011-08-20,south,0.7585728487649972,2.0537303713948605,4.226874319406304
2011-08-20,north,0.6744463392109266,1.057242464692301,1.591185621962746
2012-06-20,south,0.9673140192058165,2.299657974600036,4.474796617541333
2012-06-20,north,1.0793643993795723,1.7161355374491136,2.572452677282301
2012-08-20,south,0.9347619271979375,2.425112776119805,4.530040572744053
2012-08-20,north,2.5294810161241754,3.268897964757025,4.1872877435304545
2013-06-20,south,1.2786822672753966,2.767094638869585,4.825692525887941
2013-06-20,north,1.5448951493415444,2.5313860662515255,3.6898304282303753
