year,var,lo,mi,hi
2011,r,-1.0212285839987691,-0.7480410254866815,-0.5112888845654644
2011,r_asym,-0.9125261607635857,-0.6479412976770752,-0.3962106845154847
2012,l,0.9858115097497437,1.2507783879046754,1.5829050062005146
2012,l_asym,0.85392671771007,1.2561550689591876,1.7606971148318633
2012,r,-0.014290109245128267,0.22376606234985283,0.45926175767433036
2012,r_asym,-0.15790990411505243,0.22805550585584516,0.565709815230786
2013,l,0.6406036282604837,0.818447234067383,1.026708075801341
2013,l_asym,0.6960991222127658,0.9189488206938068,1.2334483791332855
2013,r,-0.4453443827548891,-0.2003463538261372,0.02635764107380986
2013,r_asym,-0.3622632156269159,-0.08452485694499012,0.20981380567405244
2014,l,1.4906992824472383,1.9090199602922113,2.4176405921678996
2014,l_asym,1.2377227422845574,1.66000199301535,2.1152716226944714
