year,name,index,type,lo,mi,hi
1994,s4,4,elas,0.11270901664012678,0.2733190968108328,0.500871673782509
1994,s4,4,elas_asym,0.08479935779436791,0.21144909555452124,0.4026893231232105
1995,d1,1,elas,-0.1252802823631429,0.06017852160030174,0.18389733674110081
1995,d1,1,elas_asym,-0.15361122550311568,0.04150766411740318,0.11847986390131796
1995,d2,2,elas,-0.39602883308068687,-0.10126117546036931,0.09130106510132759
1995,d2,2,elas_asym,-0.3157044510417208,-0.07899348298478658,0.07847278436409158
1995,g1,1,elas,0.2440065517959396,0.35434492586622846,0.4484380295410833
1995,g1,1,elas_asym,0.32444751351692924,0.4494965010543299,0.5984274603337153
1995,r1,1,elas,-0.011043408726208235,0.2124745882275786,0.4178768894400397
1995,r1,1,elas_asym,0.06022662856944362,0.2332905576846001,0.46333190814996644
