date,basin,var,lo,mi,hi
2000-06-20,south,disp,0.4734336338811433,0.6130664755283897,0.7547833784705705
2000-06-20,south,move,0.0909604499702171,0.22196964149024057,0.4115040228604617
2000-06-20,north,disp,0.10794215107486228,0.27934656268105723,0.4247343454019525
2000-06-20,north,move,0.07934995005881203,0.21692936920229344,0.39531815190385
2000-08-20,south,disp,0.438204320430867,0.5871876688529369,0.7236846853620051
2000-08-20,south,move,0.08497152988852967,0.19813994054410275,0.38681834130063736
2000-08-20,north,disp,0.1667573596486514,0.31579321674497607,0.44250277863842535
2000-08-20,north,move,0.17985093975758887,0.368339062214814,0.598584550370412
2001-06-20,south,disp,0.415947485292123,0.5763532779425403,0.6896283951043851
2001-06-20,south,move,0.1256689856031742,0.26742938104984104,0.48255900001216856
2001-06-20,north,disp,0.21293305850666366,0.33895667227082593,0.44195280090401784
