mean,sd,lower95,lower68,median,upper68,upper95,l_group,date,basin,size_class
211.6978985,10.760050065504723,191.359575,200.91567999999998,211.456,222.431,233.375,87,2004-08-01,north,small
94.130412955,6.71363692052079,81.44299,87.37316799999999,94.0195,100.81616000000001,107.71809999999999,88,2005-06-01,north,small
150.41591395,8.940214943820266,133.41597499999997,141.49887999999999,150.30149999999998,159.35816000000003,168.4681,89,2005-08-01,north,small
242.6966251,11.325526562387504,221.01372500000002,231.443,242.5925,254.05748,265.0593,90,2006-06-01,north,small
460.3678124,16.25925385803752,428.98882499999996,444.17052,460.2105,476.54416,492.69705,91,2006-09-01,north,small
380.0717708,14.417276853239686,352.622825,365.64484,379.8765,394.516,408.67132499999997,92,2007-06-01,north,small
474.24942405,16.3875901686035,442.78887499999996,457.83968,474.09000000000003,490.507,506.67812499999997,93,2007-09-01,north,small
541.4619106,17.53479761351341,507.280475,524.133,541.3775,558.79632,576.3180500000001,94,2008-06-01,north,small
431.25434415,15.748064820805507,400.66965,415.5774,431.18600000000004,446.78175999999996,462.70205,95,2008-08-01,north,small
586.19563435,18.715538121892394,550.02205,567.67436,585.991,604.70132,623.2430250000001,96,2009-06-01,north,small
438.39829645,15.857267635210972,407.75289999999995,422.58068000000003,438.288,454.208,469.9190999999999,97,2009-08-01,north,small
426.5410744,15.536677491533974,396.54295,411.21651999999995,426.356,441.93316,457.94417499999986,98,2010-06-01,north,small
553.45426405,17.845014103150607,518.974825,535.84584,553.275,571.13332,589.224425,99,2010-08-01,north,small
621.09286155,19.50918591984155,583.4596750000001,601.5888400000001,620.9639999999999,640.6613199999999,659.863025,100,2011-06-01,north,small
245.09670535,11.54076454284304,223.01360000000003,233.59851999999998,244.902,256.70616,268.154025,101,2011-08-01,north,small
299.5715273,12.786181715825041,274.89975,286.851,299.4185,312.318,325.03627499999993,102,2012-06-01,north,small
356.32891225,14.046863261939494,329.090625,342.30519999999996,356.251,370.41748,383.75824999999986,103,2012-08-01,north,small
896.38550205,23.537175211890734,851.255325,873.0957599999999,896.058,919.8676399999999,943.5762,104,2013-06-01,north,small
361.86400005,13.506481515938814,335.746975,348.52924,361.625,375.28232,388.6911999999999,105,2013-08-01,north,small
184.3701002,9.742943507429846,165.8038,174.61968000000002,184.249,194.096,203.79382499999994,106,2014-06-01,north,small
362.2107913,14.110652265579764,335.36147500000004,348.141,362.01800000000003,376.25631999999996,390.4891999999999,107,2014-08-01,north,small
1013.7847875,25.41521617870898,964.30195,988.57488,1013.62,1038.9232000000002,1064.4205,108,2015-06-01,north,small
46.3404351,4.759843083288115,37.4895775,41.5844,46.16675,51.06868,56.2289425,109,2015-08-01,north,small
7.4674942465,1.9196943581309522,4.15653825,5.565344,7.311885,9.3442504,11.702114999999997,110,2016-06-01,north,small
80.82666536,6.455304294513277,68.53544249999999,74.42803599999999,80.7458,87.199512,93.8646425,111,2017-06-01,north,small
345.34601475,13.792216028328484,318.81665,331.65284,345.059,359.04895999999997,372.94644999999997,112,2017-08-01,north,small
992.6722649,25.224885087080445,943.338925,967.78368,992.4035,1017.8216,1042.23025,113,2018-06-01,north,small
454.12835035,15.927136690581406,423.81559999999996,438.246,453.933,470.06344,485.76304999999996,114,2018-08-01,north,small
185.97499715,9.976482799894688,166.64395,176.039,185.838,195.86148,205.96322499999997,115,2019-06-01,north,small
278.5945638,12.427798066792421,254.43859999999998,266.33824,278.387,290.92764,303.55344999999994,116,2019-08-01,north,small
434.4507315,15.497819847569152,404.37789999999995,419.03819999999996,434.4835,449.803,464.777,117,2020-06-01,north,small
560.3790779,17.936440639420947,525.9689500000001,542.3468399999999,560.3275,578.17316,595.903,118,2020-08-01,north,small
