number,year,month,area_1,area_2,length,mass,sex,maturity,age,est_age
15,1990,6,7,11,21,94,2,1,3,3
16,1990,6,7,11,21.6,110,1,1,3,3
17,1990,6,7,11,28.5,255,2,2,NA,NA
20,1990,6,7,11,30,330,2,2,NA,NA
0,1990,6,7,11,30,380,1,1,3,3
19,1990,6,7,11,28.3,285,1,1,4,4
21,1990,6,7,11,34.6,570,1,2,4,4
22,1990,6,7,11,36.7,590,2,2,4,4
23,1990,6,7,11,42.5,1030,2,3,4,4
24,1990,6,8,12,21.5,110,2,1,3,3
25,1990,6,8,12,17,54,1,1,2,2
26,1990,6,8,12,17.7,66,2,1,3,3
27,1990,6,8,12,22.8,108,1,1,3,3
28,1990,6,8,12,20.5,104,2,2,3,3
29,1990,6,8,12,19,76,1,1,3,3
30,1990,6,8,12,22.3,118,2,2,3,3
31,1990,6,8,12,17.8,70,2,1,3,3
32,1990,6,8,12,15.2,38,2,1,NA,NA
33,1990,6,8,12,19.4,92,2,1,3,3
34,1990,6,8,12,20.6,98,2,1,3,3
35,1990,6,8,12,17.2,56,1,1,2,2
36,1990,6,8,12,17.6,64,1,1,2,2
37,1990,6,8,12,18.5,64,2,1,2,2
38,1990,6,8,12,17.8,64,1,1,2,2
39,1990,6,8,12,17,54,2,1,2,2
40,1990,6,8,12,16.5,54,2,1,2,2
41,1990,6,8,12,16.7,50,1,1,2,2
42,1990,6,8,12,16,54,1,1,2,2
43,1990,6,8,12,16.5,54,1,1,2,2
44,1990,6,8,12,30,365,2,2,4,4
46,1990,6,8,12,16,44,2,1,2,2
46,1990,6,7,11,14.5,32,2,1,2,2
47,1990,6,7,11,15.2,36,1,1,2,2
48,1990,6,7,11,24.8,36,1,1,2,2
49,1990,6,7,11,19.6,84,2,1,3,3
50,1990,6,7,11,24.8,190,2,1,3,3
51,1990,6,7,11,26.6,250,NA,0,3,3
52,1990,6,7,11,23.6,160,2,1,3,3
53,1990,6,7,11,34,570,1,3,3,3
54,1990,6,7,11,31.7,410,1,3,4,4
55,1990,6,7,11,39.7,870,1,2,4,4
59,1990,6,8,12,17.3,62,2,1,2,2
60,1990,6,8,12,15,34,2,1,2,2
61,1990,6,8,12,16.4,48,1,1,2,2
62,1990,6,8,12,14.8,40,1,1,2,2
63,1990,6,8,12,14.5,34,1,1,2,2
64,1990,6,8,12,16.2,50,1,1,2,2
65,1990,6,8,12,14.9,36,2,1,2,2
66,1990,6,8,12,15.3,38,2,1,2,2
67,1990,6,8,12,14.7,34,2,1,2,2
68,1990,6,8,12,14.5,34,1,1,2,2
69,1990,6,8,12,14.5,34,2,1,2,2
70,1990,6,8,12,14.1,34,2,1,1,1
71,1990,6,8,12,12.7,30,1,1,1,1
72,1990,6,8,12,15.2,34,2,1,2,2
73,1990,6,8,12,24.4,170,2,1,3,3
74,1990,6,8,12,21.5,118,1,1,3,3
75,1990,6,8,12,27,275,1,2,4,4
76,1990,6,8,12,22.5,118,2,1,3,3
77,1990,6,8,12,20.9,110,1,1,3,3
78,1990,6,8,12,19.5,88,1,1,3,3
79,1990,6,8,12,16.3,42,1,1,2,2
80,1990,6,8,12,14.4,38,1,1,1,1
81,1990,6,8,12,14.5,36,2,1,2,2
82,1990,6,8,12,14.8,36,1,1,2,2
83,1990,6,8,12,15.1,36,1,1,2,2
1,1990,9,4,4,18,60,1,1,2,2
2,1990,9,4,4,17.4,56,2,1,2,2
3,1990,9,4,4,17.2,54,1,1,1,1
4,1990,9,4,4,18.7,70,1,1,2,2
5,1990,9,4,4,37.8,690,2,5,4,4
8,1990,9,4,4,41.1,1030,2,5,4,4
11,1990,9,10,10,45,1210,2,12,4,4
12,1990,9,10,10,57.5,2200,2,12,6,6
13,1990,9,2,2,22.5,130,1,1,2,2
14,1990,9,2,2,20.9,102,1,1,2,2
15,1990,9,2,2,19.2,86,1,1,2,2
16,1990,9,2,2,24.1,170,1,1,2,2
17,1990,9,2,2,15.1,34,1,1,2,2
18,1990,9,2,2,30,355,2,2,3,3
19,1990,9,2,2,22.2,116,1,1,2,2
20,1990,9,2,2,19.9,78,1,1,2,2
21,1990,9,2,2,33.5,490,2,2,3,3
23,1990,9,2,2,20.3,88,1,1,2,2
25,1990,9,2,2,37,650,1,4,3,3
26,1990,9,2,2,34,550,2,3,NA,NA
27,1990,9,2,2,30.7,420,2,2,3,3
28,1990,9,2,2,42,1045,1,4,4,4
29,1990,9,2,2,46,1420,1,11,4,4
30,1990,9,2,2,44.1,1215,1,10,4,4
32,1990,9,3,3,21.2,94,1,1,2,2
33,1990,9,3,3,16,38,1,1,1,1
34,1990,9,3,3,18.2,58,2,1,2,2
35,1990,9,3,3,16.4,48,2,1,1,1
36,1990,9,3,3,17.4,60,1,1,1,1
37,1990,9,3,3,16.4,50,2,1,1,1
38,1990,9,3,3,16.2,44,2,1,1,1
39,1990,9,3,3,17.3,52,2,1,1,1
40,1990,9,3,3,17.3,54,2,1,1,1
42,1990,9,3,3,37.8,640,1,3,4,4
52,1990,9,1,1,18,66,1,1,1,1
53,1990,9,1,1,18.5,64,1,1,1,1
54,1990,9,1,1,18.6,60,1,1,2,2
55,1990,9,1,1,17.1,54,2,1,NA,NA
56,1990,9,1,1,41.1,865,1,3,3,3
82,1990,9,5,5,17,54,2,1,2,2
83,1990,9,5,5,19.5,64,1,1,2,2
84,1990,9,5,5,22,124,1,1,2,2
85,1990,9,5,5,17.3,56,1,1,2,2
86,1990,9,5,5,21.3,100,2,1,2,2
87,1990,9,5,5,24.3,150,1,1,3,3
88,1990,9,5,5,23.5,150,1,1,2,2
89,1990,9,5,5,26.3,215,1,2,2,2
90,1990,9,5,5,39.8,865,1,2,4,4
91,1990,9,5,5,40.5,810,1,2,4,4
92,1990,9,5,5,33.5,510,2,2,3,3
93,1990,9,5,5,42.5,1050,2,12,2,2
94,1990,9,5,5,41.1,950,1,3,4,4
64,1990,9,7,11,21.2,96,1,1,2,2
65,1990,9,7,11,20.7,98,2,1,2,2
66,1990,9,7,11,20.7,94,2,1,2,2
67,1990,9,7,11,24,155,1,1,2,2
68,1990,9,7,11,22.4,130,2,1,2,2
69,1990,9,7,11,23.7,145,1,1,3,3
70,1990,9,7,11,21.5,120,2,1,2,2
71,1990,9,7,11,23.7,140,2,1,2,2
72,1990,9,7,11,22.7,122,1,1,3,3
75,1990,9,8,12,19.8,80,1,1,2,2
76,1990,9,8,12,22.5,124,1,1,2,2
77,1990,9,8,12,32,435,1,1,3,3
78,1990,9,8,12,32.9,460,2,2,4,4
79,1990,9,8,12,35.8,640,1,2,4,4
80,1990,9,8,12,34,480,2,2,3,3
81,1990,9,8,12,20.8,118,1,1,3,3
26,1991,6,5,5,21.4,94,2,2,2,2
27,1991,6,5,5,22.5,112,2,2,2,2
28,1991,6,6,6,17.4,54,1,1,1,1
29,1991,6,6,6,17.7,66,1,1,2,2
30,1991,6,6,6,16.3,48,2,2,2,2
31,1991,6,4,4,14.9,36,1,1,1,1
32,1991,6,4,4,17.2,54,1,1,1,1
33,1991,6,4,4,18.4,54,1,1,2,2
34,1991,6,4,4,16,48,2,1,2,2
35,1991,6,4,4,24.4,165,1,2,2,2
36,1991,6,4,4,16.4,48,1,1,1,1
37,1991,6,4,4,34,530,1,3,3,3
38,1991,6,0,0,17,62,2,2,2,2
39,1991,6,0,0,17.6,54,1,1,2,2
40,1991,6,0,0,17,52,2,1,2,2
41,1991,6,0,0,22.3,112,1,2,3,3
42,1991,6,0,0,29,310,2,2,3,3
43,1991,6,0,0,29.6,305,2,3,3,3
44,1991,6,0,0,30.2,380,1,2,3,3
45,1991,6,0,0,27.5,295,1,3,2,2
46,1991,6,0,0,32.6,430,1,2,3,3
47,1991,6,1,1,18.1,44,1,1,2,2
48,1991,6,2,2,17.5,52,2,1,2,2
49,1991,6,2,2,15.8,42,2,1,1,1
50,1991,6,2,2,20.2,80,2,1,2,2
51,1991,6,2,2,16.6,46,1,1,1,1
53,1991,6,2,2,26.7,190,2,1,4,4
56,1991,6,6,6,22,102,1,1,2,2
57,1991,6,6,6,24.1,195,2,2,2,2
58,1991,6,4,4,18.2,72,1,1,1,1
59,1991,6,4,4,46.5,1165,2,10,4,4
61,1991,6,8,12,16.6,48,2,1,2,2
62,1991,6,8,12,18.7,68,1,1,2,2
63,1991,6,8,12,15.9,40,1,1,2,2
8,1991,6,8,12,19.9,94,2,2,3,3
9,1991,6,8,12,16,43,1,1,2,2
10,1991,6,8,12,24.3,175,1,2,3,3
11,1991,6,8,12,17.8,52,1,1,2,2
12,1991,6,8,12,26.2,190,2,2,3,3
13,1991,6,8,12,18.4,62,1,1,2,2
14,1991,6,8,12,17.7,58,2,1,2,2
15,1991,6,8,12,18.8,70,1,1,2,2
16,1991,6,8,12,19.2,70,1,1,2,2
17,1991,6,8,12,15.7,36,1,1,2,2
18,1991,6,8,12,27.2,240,1,2,3,3
19,1991,6,8,12,19.5,76,2,2,2,2
20,1991,6,8,12,18.4,62,1,1,2,2
1,1991,6,7,11,24.1,160,2,2,3,3
2,1991,6,7,11,23.5,135,2,1,3,3
3,1991,6,7,11,22.5,116,1,1,2,2
4,1991,6,7,11,21.5,100,1,1,3,3
5,1991,6,7,11,22,106,1,1,3,3
6,1991,6,7,11,26,185,2,2,3,3
7,1991,6,7,11,24.8,155,1,2,3,3
1,1991,9,2,2,18.7,68,1,1,1,1
2,1991,9,2,2,19.5,80,1,1,1,1
3,1991,9,2,2,17.6,56,2,1,1,1
4,1991,9,2,2,18.5,74,2,1,1,1
5,1991,9,2,2,15.5,38,1,1,1,1
6,1991,9,2,2,16.1,46,1,1,1,1
7,1991,9,2,2,24.4,126,1,1,2,2
8,1991,9,2,2,21.4,106,2,1,1,1
9,1991,9,2,2,24.5,185,2,1,4,4
10,1991,9,2,2,21.5,96,2,1,1,1
11,1991,9,2,2,21.1,104,1,2,1,1
12,1991,9,2,2,22.9,120,1,1,1,1
13,1991,9,2,2,22,130,2,2,1,1
14,1991,9,2,2,21.5,112,1,1,1,1
15,1991,9,2,2,21,114,1,1,1,1
16,1991,9,2,2,21.5,102,1,1,1,1
17,1991,9,2,2,16.8,48,1,1,1,1
18,1991,9,2,2,25.4,185,2,1,2,2
19,1991,9,2,2,21,100,1,1,1,1
20,1991,9,2,2,19.1,60,1,1,1,1
21,1991,9,2,2,22.5,130,2,1,1,1
22,1991,9,2,2,16.8,46,1,1,1,1
23,1991,9,2,2,19,60,1,1,1,1
24,1991,9,2,2,22.5,130,1,1,1,1
25,1991,9,2,2,19,64,2,1,1,1
26,1991,9,2,2,18.4,56,2,1,1,1
27,1991,9,2,2,20.5,72,2,1,1,1
28,1991,9,2,2,20,82,1,1,1,1
29,1991,9,2,2,19,74,1,1,1,1
30,1991,9,2,2,19.1,76,2,1,1,1
31,1991,9,2,2,19,70,2,1,1,1
32,1991,9,2,2,19.3,76,1,1,1,1
33,1991,9,2,2,20.7,100,2,1,1,1
34,1991,9,2,2,16.6,42,2,1,1,1
35,1991,9,2,2,17.2,52,1,1,1,1
36,1991,9,2,2,17.3,54,2,1,1,1
37,1991,9,2,2,18.1,64,2,1,1,1
38,1991,9,2,2,14.3,32,1,1,1,1
39,1991,9,2,2,17.8,60,2,1,1,1
40,1991,9,2,2,17.2,54,2,1,1,1
41,1991,9,2,2,18.4,68,1,1,1,1
42,1991,9,2,2,17.4,64,1,1,1,1
43,1991,9,2,2,27.5,300,1,2,2,2
44,1991,9,2,2,32.8,445,2,2,2,2
45,1991,9,2,2,31.1,445,2,2,3,3
46,1991,9,2,2,32.2,415,2,2,3,3
47,1991,9,2,2,37.9,570,2,2,3,3
48,1991,9,2,2,34.6,362,1,2,3,3
49,1991,9,2,2,49.1,1555,2,10,4,4
50,1991,9,3,3,15.3,34,1,1,1,1
51,1991,9,3,3,18.8,70,1,1,1,1
52,1991,9,3,3,19,66,2,1,1,1
53,1991,9,3,3,14.4,30,2,1,1,1
54,1991,9,3,3,17.3,54,1,1,1,1
55,1991,9,3,3,22.3,116,1,1,1,1
56,1991,9,3,3,14.2,28,2,1,1,1
57,1991,9,3,3,17,50,1,1,1,1
58,1991,9,3,3,17.7,62,2,1,1,1
59,1991,9,3,3,19.1,72,2,1,2,2
60,1991,9,3,3,17.3,58,2,1,1,1
61,1991,9,3,3,17.4,60,2,1,1,1
62,1991,9,3,3,16.2,38,1,1,1,1
63,1991,9,3,3,18.7,72,1,1,1,1
64,1991,9,3,3,16.3,44,2,1,1,1
65,1991,9,3,3,16.3,52,2,1,1,1
66,1991,9,3,3,17,52,1,1,1,1
67,1991,9,3,3,19.8,90,1,1,1,1
68,1991,9,3,3,19.9,84,2,1,1,1
69,1991,9,3,3,18.8,64,2,1,1,1
70,1991,9,3,3,22.3,120,2,1,1,1
71,1991,9,3,3,21.5,118,2,1,1,1
72,1991,9,3,3,22.6,130,1,1,1,1
73,1991,9,3,3,24.1,155,1,1,2,2
74,1991,9,3,3,24.5,180,1,1,2,2
75,1991,9,3,3,27.3,275,2,1,2,2
76,1991,9,3,3,31.2,340,2,1,2,2
77,1991,9,3,3,32,360,1,2,2,2
78,1991,9,1,1,23.3,150,1,1,2,2
79,1991,9,1,1,31.7,450,2,2,2,2
80,1991,9,1,1,33.7,580,1,3,3,3
81,1991,9,1,1,37.4,700,1,2,3,3
82,1991,9,6,6,55,2045,2,12,6,6
83,1991,9,6,6,18.5,68,2,2,1,1
84,1991,9,5,5,20.9,124,1,2,1,1
85,1991,9,5,5,19.2,56,1,1,1,1
86,1991,9,4,4,20.5,96,2,1,1,1
87,1991,9,4,4,17.3,52,2,1,1,1
88,1991,9,4,4,19,78,1,1,1,1
89,1991,9,4,4,15.5,38,2,1,1,1
90,1991,9,4,4,15.4,36,1,1,1,1
91,1991,9,4,4,19.2,69,1,1,1,1
92,1991,9,4,4,19.9,66,1,1,1,1
93,1991,9,4,4,19,76,1,1,1,1
94,1991,9,4,4,32.2,385,1,1,2,2
95,1991,9,4,4,31.7,360,1,2,2,2
96,1991,9,4,4,33,460,1,1,2,2
97,1991,9,4,4,32.1,444,2,1,2,2
98,1991,9,4,4,35,530,1,2,2,2
99,1991,9,4,4,34.4,580,2,2,3,3
100,1991,9,4,4,36.7,680,2,2,3,3
144,1991,9,2,2,30,370,1,2,4,4
145,1991,9,2,2,16.1,40,1,1,1,1
146,1991,9,2,2,22,120,2,2,1,1
147,1991,9,2,2,18.3,64,1,1,1,1
148,1991,9,2,2,17.8,70,2,2,1,1
149,1991,9,2,2,18.5,70,2,1,1,1
150,1991,9,2,2,15.6,36,1,1,1,1
151,1991,9,2,2,18.1,60,2,1,1,1
152,1991,9,2,2,18.1,64,2,1,1,1
153,1991,9,2,2,16.5,48,1,1,1,1
154,1991,9,2,2,18.1,62,1,1,1,1
155,1991,9,2,2,21.8,108,1,1,1,1
156,1991,9,2,2,23.1,150,2,1,1,1
157,1991,9,2,2,25.1,200,2,1,1,1
158,1991,9,2,2,24.7,180,1,1,1,1
159,1991,9,2,2,23,155,2,1,1,1
160,1991,9,2,2,33.6,450,2,1,2,2
161,1991,9,2,2,30.3,340,2,2,2,2
162,1991,9,2,2,36.1,590,2,1,3,3
163,1991,9,2,2,34.1,535,2,1,1,1
164,1991,9,2,2,46.8,1250,5,9,5,5
165,1991,9,2,2,56,2500,6,10,6,6
166,1991,9,2,2,20.5,98,NA,0,1,1
167,1991,9,2,2,19.1,76,NA,0,1,1
168,1991,9,2,2,23.1,135,NA,0,1,1
169,1991,9,2,2,20.5,100,NA,0,1,1
170,1991,9,2,2,23,150,NA,0,2,2
171,1991,9,2,2,18.2,66,NA,0,1,1
172,1991,9,2,2,20,66,NA,0,1,1
173,1991,9,2,2,19,76,NA,0,1,1
174,1991,9,2,2,20.3,94,NA,0,1,1
175,1991,9,2,2,18.3,70,NA,0,1,1
176,1991,9,2,2,16.8,50,NA,0,1,1
177,1991,9,2,2,19.4,90,NA,0,1,1
178,1991,9,2,2,19.1,78,NA,0,1,1
179,1991,9,2,2,18.7,80,NA,0,1,1
180,1991,9,2,2,19.6,80,NA,0,1,1
181,1991,9,2,2,25.1,180,NA,0,1,1
182,1991,9,2,2,18,62,NA,0,1,1
183,1991,9,2,2,18.1,62,NA,0,1,1
184,1991,9,2,2,16.3,38,NA,0,1,1
185,1991,9,2,2,20.1,88,NA,0,1,1
186,1991,9,2,2,19.1,74,NA,0,1,1
187,1991,9,2,2,16.9,50,NA,0,1,1
188,1991,9,2,2,20.1,86,NA,0,2,2
189,1991,9,2,2,18.2,58,NA,0,1,1
190,1991,9,2,2,20,72,NA,0,1,1
191,1991,9,2,2,18.3,64,NA,0,1,1
192,1991,9,2,2,16.6,44,NA,0,1,1
193,1991,9,2,2,15.6,34,NA,0,NA,NA
194,1991,9,2,2,15.7,34,NA,0,2,2
195,1991,9,2,2,15.4,34,NA,0,2,2
196,1991,9,2,2,19.2,84,NA,0,1,1
197,1991,9,2,2,20.3,98,NA,0,1,1
198,1991,9,2,2,19.3,78,NA,0,1,1
101,1991,9,7,11,16.3,44,1,1,1,1
102,1991,9,7,11,18,66,1,1,1,1
103,1991,9,7,11,17.3,46,2,1,1,1
104,1991,9,7,11,18.9,82,1,1,1,1
105,1991,9,7,11,17.9,60,2,1,1,1
106,1991,9,7,11,18.4,70,2,1,1,1
107,1991,9,7,11,18.5,78,2,2,1,1
108,1991,9,7,11,19.8,86,1,1,2,2
109,1991,9,7,11,19.2,68,1,1,1,1
110,1991,9,7,11,18,64,2,2,1,1
111,1991,9,7,11,18.8,72,2,2,1,1
112,1991,9,7,11,19.3,82,1,1,1,1
113,1991,9,7,11,22.5,126,1,2,1,1
114,1991,9,7,11,21,116,1,2,1,1
115,1991,9,7,11,19.5,78,1,1,1,1
116,1991,9,7,11,21.4,112,1,1,1,1
117,1991,9,7,11,23.1,150,1,1,2,2
118,1991,9,7,11,30.5,300,2,2,2,2
119,1991,9,7,11,28.5,290,1,2,2,2
120,1991,9,7,11,29.8,330,2,2,2,2
121,1991,9,7,11,32.5,405,2,1,2,2
122,1991,9,7,11,29.7,285,1,2,2,2
123,1991,9,7,11,31,325,2,2,2,2
124,1991,9,7,11,27,250,1,2,2,2
125,1991,9,7,11,30.7,295,2,4,2,2
126,1991,9,7,11,32.5,395,2,2,2,2
127,1991,9,7,11,33.5,445,1,2,3,3
128,1991,9,8,12,18,62,2,1,1,1
129,1991,9,8,12,19.2,84,2,1,2,2
130,1991,9,8,12,21.1,114,1,2,1,1
131,1991,9,8,12,20.7,106,1,2,2,2
132,1991,9,8,12,24.2,145,2,1,2,2
133,1991,9,8,12,25.9,200,2,2,2,2
134,1991,9,8,12,28.8,310,1,2,2,2
135,1991,9,8,12,30.1,300,1,2,NA,NA
136,1991,9,8,12,31.5,310,1,2,2,2
137,1991,9,8,12,32,470,2,2,2,2
138,1991,9,8,12,26.5,230,1,1,2,2
139,1991,9,8,12,32.8,370,1,2,2,2
140,1991,9,8,12,32.7,455,1,2,3,3
141,1991,9,8,12,31.3,430,1,2,2,2
142,1991,9,8,12,34.4,525,1,2,2,2
143,1991,9,8,12,42.8,1170,1,3,4,4
1,1992,6,1,1,19,68,2,2,2,2
2,1992,6,1,1,23.1,116,2,2,2,2
3,1992,6,1,1,18.4,56,1,1,2,2
4,1992,6,1,1,19.6,88,2,1,2,2
5,1992,6,1,1,17.9,67,1,1,2,2
6,1992,6,1,1,17.1,52,1,1,2,2
7,1992,6,1,1,18.2,62,1,1,3,3
8,1992,6,1,1,21,98,1,2,2,2
9,1992,6,1,1,15.9,40,2,1,2,2
10,1992,6,1,1,27.3,225,2,2,2,2
11,1992,6,1,1,19,70,1,1,2,2
12,1992,6,1,1,29.2,285,1,2,3,3
17,1992,6,2,2,20.7,94,1,2,3,3
18,1992,6,2,2,18,60,2,1,2,2
19,1992,6,2,2,18.7,68,1,1,2,2
20,1992,6,2,2,17.4,52,1,1,2,2
21,1992,6,2,2,19.2,74,2,1,2,2
22,1992,6,2,2,24.5,150,2,2,3,3
23,1992,6,2,2,25.9,190,2,2,3,3
24,1992,6,2,2,23.6,135,1,1,3,3
25,1992,6,2,2,18,68,1,1,2,2
26,1992,6,2,2,14.9,34,1,1,2,2
27,1992,6,2,2,25.4,185,1,2,3,3
28,1992,6,2,2,29,290,2,5,5,5
32,1992,6,3,3,17.2,60,1,5,3,3
33,1992,6,3,3,15.8,36,2,1,2,2
34,1992,6,3,3,17.7,62,1,1,2,2
35,1992,6,3,3,19.6,70,1,1,2,2
36,1992,6,3,3,19.6,70,2,2,2,2
37,1992,6,3,3,14.6,36,1,1,2,2
38,1992,6,3,3,16.4,46,1,1,NA,NA
39,1992,6,3,3,26.7,210,1,2,3,3
40,1992,6,3,3,38.6,810,1,9,4,4
42,1992,6,6,6,20.2,70,1,1,2,2
43,1992,6,6,6,19.5,67,1,2,2,2
44,1992,6,6,6,17,48,1,1,2,2
47,1992,6,6,6,50.4,1730,2,11,5,5
48,1992,6,6,6,51,1740,2,11,5,5
49,1992,6,6,6,51.7,1650,2,12,6,6
50,1992,6,0,0,18,66,1,1,2,2
52,1992,6,0,0,16.5,46,1,1,2,2
53,1992,6,0,0,50.5,1440,2,11,6,6
54,1992,6,4,4,15.9,44,1,1,2,2
55,1992,6,4,4,16.6,44,1,1,2,2
56,1992,6,4,4,16,38,1,1,2,2
57,1992,6,4,4,21.8,0,2,1,2,2
58,1992,6,4,4,17,66,2,1,2,2
59,1992,6,4,4,24.8,150,2,2,2,2
60,1992,6,4,4,31.3,345,1,2,3,3
61,1992,6,4,4,27.5,230,1,2,3,3
62,1992,6,4,4,25,165,1,1,2,2
63,1992,6,4,4,21.3,79,2,1,2,2
65,1992,6,4,4,51.7,1980,1,10,5,5
66,1992,6,5,5,15,34,2,1,2,2
67,1992,6,5,5,15.5,36,2,1,2,2
68,1992,6,5,5,17.1,58,1,1,2,2
69,1992,6,5,5,20.2,96,2,1,3,3
70,1992,6,5,5,22.4,124,1,1,3,3
71,1992,6,5,5,22.5,118,1,1,2,2
161,1992,6,0,0,29.5,325,1,2,4,4
162,1992,6,0,0,27.2,270,1,2,3,3
163,1992,6,0,0,25.6,190,2,2,3,3
164,1992,6,0,0,23.4,170,1,2,3,3
165,1992,6,0,0,24.1,150,2,1,3,3
166,1992,6,0,0,15.3,38,1,1,2,2
167,1992,6,0,0,15,36,1,1,2,2
168,1992,6,0,0,21.4,102,2,2,2,2
169,1992,6,0,0,21.9,110,2,2,3,3
170,1992,6,0,0,17.5,52,2,1,2,2
171,1992,6,6,6,13,20,2,1,2,2
172,1992,6,6,6,22,108,2,2,NA,NA
173,1992,6,6,6,24,126,1,1,2,2
174,1992,6,6,6,21.5,116,2,2,2,2
174,1992,6,6,6,19.1,84,1,1,2,2
175,1992,6,6,6,15.9,35,2,1,2,2
176,1992,6,6,6,16.8,50,1,1,2,2
177,1992,6,6,6,24.3,170,1,2,2,2
178,1992,6,6,6,19.8,88,2,2,2,2
179,1992,6,6,6,16.8,46,1,1,2,2
180,1992,6,6,6,23.5,130,2,1,2,2
181,1992,6,6,6,14.5,32,1,1,2,2
0,1992,6,0,0,23.2,145,NA,0,NA,3
0,1992,6,0,0,25.2,175,NA,0,NA,3
0,1992,6,0,0,24.6,170,NA,0,NA,3
0,1992,6,0,0,20.5,82,NA,0,NA,3
0,1992,6,0,0,22.8,108,NA,0,NA,3
0,1992,6,0,0,21.5,130,NA,0,NA,3
0,1992,6,0,0,20.5,92,NA,0,NA,3
0,1992,6,0,0,25.5,200,NA,0,NA,3
0,1992,6,0,0,23,135,NA,0,NA,3
0,1992,6,0,0,20.9,84,NA,0,NA,3
0,1992,6,0,0,18.5,78,NA,0,NA,2
0,1992,6,0,0,18.4,70,NA,0,NA,2
0,1992,6,0,0,16,46,NA,0,NA,2
0,1992,6,0,0,25,185,NA,0,NA,3
0,1992,6,0,0,23.9,150,NA,0,NA,3
0,1992,6,0,0,21.8,114,NA,0,NA,3
0,1992,6,0,0,18.5,66,NA,0,NA,2
0,1992,6,0,0,15.6,42,NA,0,NA,2
0,1992,6,0,0,21.8,104,NA,0,NA,3
0,1992,6,0,0,17.7,62,NA,0,NA,2
0,1992,6,0,0,22.7,130,NA,0,NA,3
0,1992,6,0,0,17.7,64,NA,0,NA,2
0,1992,6,0,0,19.1,78,NA,0,NA,2
0,1992,6,0,0,19.7,88,NA,0,NA,2
0,1992,6,0,0,18.5,72,NA,0,NA,2
0,1992,6,0,0,17.1,54,NA,0,NA,2
0,1992,6,0,0,15.3,46,NA,0,NA,2
0,1992,6,0,0,16.9,54,NA,0,NA,2
0,1992,6,0,0,16.7,46,NA,0,NA,2
0,1992,6,0,0,15.3,38,NA,0,NA,2
0,1992,6,0,0,21,100,NA,0,NA,3
0,1992,6,0,0,21,96,NA,0,NA,3
0,1992,6,0,0,15,42,NA,0,NA,2
0,1992,6,0,0,16.5,50,NA,0,NA,2
0,1992,6,0,0,15.6,46,NA,0,NA,2
0,1992,6,0,0,22.3,114,NA,0,NA,3
0,1992,6,0,0,18.8,80,NA,0,NA,2
0,1992,6,0,0,15.6,46,NA,0,NA,2
0,1992,6,0,0,16,42,NA,0,NA,2
0,1992,6,0,0,17.1,48,NA,0,NA,2
0,1992,6,0,0,22.5,140,NA,0,NA,3
0,1992,6,0,0,21.5,104,NA,0,NA,3
0,1992,6,0,0,15,40,NA,0,NA,2
0,1992,6,0,0,19.4,88,NA,0,NA,2
0,1992,6,0,0,17.9,66,NA,0,NA,2
0,1992,6,0,0,21.6,108,NA,0,NA,3
0,1992,6,0,0,20.7,100,NA,0,NA,2
0,1992,6,0,0,15,40,NA,0,NA,2
0,1992,6,0,0,17,62,NA,0,NA,2
0,1992,6,0,0,15.3,40,NA,0,NA,2
0,1992,6,0,0,17.7,66,NA,0,NA,2
0,1992,6,0,0,16.3,52,NA,0,NA,2
0,1992,6,0,0,16,56,NA,0,NA,2
0,1992,6,0,0,20.2,82,NA,0,NA,3
0,1992,6,0,0,21,96,NA,0,NA,3
0,1992,6,0,0,16.5,54,NA,0,NA,2
0,1992,6,0,0,15.5,42,NA,0,NA,2
0,1992,6,0,0,14.5,0,NA,0,NA,2
0,1992,6,0,0,25.3,42,NA,0,NA,2
0,1992,6,0,0,15.8,46,NA,0,NA,2
0,1992,6,0,0,14.5,40,NA,0,NA,2
0,1992,6,0,0,17.2,54,NA,0,NA,2
0,1992,6,0,0,18.7,70,NA,0,NA,2
0,1992,6,0,0,15.5,44,NA,0,NA,2
0,1992,6,0,0,14.6,38,NA,0,NA,2
0,1992,6,0,0,15.2,44,NA,0,NA,2
0,1992,6,0,0,16.6,54,NA,0,NA,2
0,1992,6,0,0,15.5,46,NA,0,NA,2
75,1992,6,8,12,17.7,50,1,1,2,2
76,1992,6,8,12,17.5,54,1,1,2,2
77,1992,6,8,12,16.5,42,2,1,2,2
78,1992,6,8,12,18.8,64,1,1,2,2
79,1992,6,8,12,17.5,46,1,1,2,2
80,1992,6,8,12,21.7,104,2,1,2,2
81,1992,6,8,12,21.5,105,2,1,2,2
82,1992,6,8,12,22.9,124,1,1,2,2
83,1992,6,8,12,23.8,140,1,1,2,2
84,1992,6,8,12,15.5,0,2,1,2,2
85,1992,6,8,12,18.3,62,1,1,2,2
86,1992,6,8,12,16.9,48,1,3,2,2
87,1992,6,8,12,22.3,100,1,3,2,2
88,1992,6,8,12,26.5,190,2,2,3,3
89,1992,6,8,12,30.6,320,1,2,3,3
90,1992,6,8,12,35.1,480,2,2,3,3
91,1992,6,8,12,34.8,470,2,3,3,3
103,1992,6,7,11,19.4,78,1,1,3,3
104,1992,6,7,11,19.4,70,1,1,3,3
105,1992,6,7,11,19.6,78,1,1,3,3
106,1992,6,7,11,25.3,180,2,2,3,3
107,1992,6,7,11,21.5,90,2,1,3,3
108,1992,6,7,11,21,90,2,2,3,3
