year,stage,area,count
2002,third,7,3
2002,third,8,5
2002,adult,2,1
2002,adult,3,2
2002,adult,5,1
2002,adult,9,1
2003,first,6,1
2003,first,9,1
2003,second,1,6
2003,second,2,1
2003,second,3,6
2003,second,4,4
2003,second,5,4
2003,second,7,6
2003,second,8,1
2003,second,9,7
2003,third,0,1
2003,third,1,2
2003,third,2,1
2003,third,3,2
2003,third,4,4
2003,third,5,4
2003,third,6,10
2003,third,7,5
2003,third,8,5
2003,third,9,2
2003,adult,0,1
2003,adult,5,1
2003,adult,6,1
2003,adult,8,1
2004,first,3,2
2004,first,4,2
2004,first,6,1
2004,second,1,5
2004,second,2,6
2004,second,3,3
2004,second,4,9
2004,second,6,3
2004,second,7,8
2004,second,8,2
2004,third,0,4
2004,third,2,2
2004,third,4,1
2004,third,5,1
2004,third,8,4
2004,adult,0,2
2004,adult,2,1
2004,adult,5,1
2004,adult,6,2
2005,first,2,1
2005,first,4,1
2005,second,1,4
2005,second,2,12
2005,second,3,3
2005,second,4,5
2005,second,7,4
2005,second,8,3
2005,second,9,2
2005,third,1,1
2005,third,2,4
2005,third,4,5
2005,third,5,5
2005,third,7,2
2005,third,8,11
2005,third,9,3
2005,adult,3,1
2005,adult,4,1
2006,second,1,8
2006,second,2,4
2006,second,3,4
2006,second,4,6
2006,second,5,2
2006,second,9,9
2006,third,1,1
2006,third,2,1
2006,third,3,1
2006,third,4,3
2006,third,5,1
2006,third,8,1
2006,third,9,7
2006,adult,0,1
2006,adult,1,1
2006,adult,3,1
2006,adult,6,1
2007,second,0,1
2007,second,2,2
2007,second,4,2
2007,second,8,1
2007,third,0,1
2007,third,4,1
2007,third,7,1
2007,third,8,2
2007,third,9,1
2007,adult,2,4
2007,adult,8,1
2007,adult,9,4
2008,first,10,1
2008,second,1,2
2008,second,2,2
2008,second,3,4
2008,second,4,4
2008,second,7,5
2008,second,8,6
2008,second,9,5
2008,second,10,10
2008,third,1,3
2008,third,2,3
2008,third,3,5
2008,third,4,7
2008,third,7,2
2008,third,8,10
2008,third,9,3
2008,third,10,5
2008,adult,4,2
2008,adult,5,1
2008,adult,7,1
2008,adult,8,1
2008,adult,9,1
2008,adult,10,1
2009,second,2,1
2009,second,3,2
2009,second,4,3
2009,second,8,1
2009,second,9,7
2009,third,1,1
2009,third,3,2
2009,third,4,6
2009,third,7,4
2009,third,8,7
2009,third,9,9
2009,adult,3,5
2009,adult,4,3
2009,adult,5,1
2009,adult,7,3
2009,adult,8,3
2009,adult,9,7
2010,first,2,1
2010,first,9,1
2010,second,0,1
2010,second,1,2
2010,second,2,2
2010,second,3,1
2010,second,4,13
2010,second,6,6
2010,second,8,3
2010,second,9,10
2010,third,1,3
2010,third,2,4
2010,third,3,1
2010,third,4,8
2010,third,6,1
2010,third,8,9
2010,third,9,4
2010,adult,2,3
2010,adult,4,6
2010,adult,6,1
2010,adult,8,1
2010,adult,9,9
2011,first,6,1
2011,second,2,4
2011,second,4,6
2011,second,8,1
2011,second,10,1
2011,third,2,2
2011,third,3,5
2011,third,4,9
2011,third,7,1
2011,third,8,10
2011,third,10,6
2011,adult,2,2
2011,adult,4,8
2011,adult,5,1
2011,adult,6,16
2011,adult,7,1
2011,adult,8,18
2011,adult,10,4
2012,first,0,8
2012,first,2,1
2012,first,3,1
2012,first,6,2
2012,first,9,4
2012,second,0,5
2012,second,2,3
2012,second,3,10
2012,second,4,14
2012,second,6,1
2012,second,7,2
2012,second,9,2
2012,third,0,2
2012,third,2,1
2012,third,3,2
2012,third,4,7
2012,third,7,3
2012,third,9,3
2012,adult,0,3
2012,adult,3,1
2012,adult,4,13
2012,adult,6,3
2012,adult,7,2
2012,adult,9,3
2013,first,0,1
2013,first,2,4
2013,second,0,1
2013,second,2,2
2013,second,3,2
2013,second,4,1
2013,second,8,1
2013,third,2,2
2013,third,3,2
2013,third,4,12
2013,third,6,2
2013,third,7,1
2013,third,8,2
2013,third,9,1
2013,adult,0,2
2013,adult,1,1
2013,adult,2,1
2013,adult,3,3
2013,adult,4,6
2013,adult,5,1
2013,adult,6,2
2013,adult,7,6
2013,adult,8,3
2014,first,2,2
2014,first,3,1
2014,first,4,2
2014,second,2,1
2014,second,4,6
2014,second,6,1
2014,second,8,1
2014,third,0,1
2014,third,4,2
2014,third,7,4
2014,third,8,5
2014,adult,1,1
2014,adult,2,2
2014,adult,4,26
2014,adult,5,4
2014,adult,6,5
2014,adult,7,6
2014,adult,8,10
2015,first,3,1
2015,first,4,1
2015,first,9,1
2015,first,10,1
2015,second,0,1
2015,second,1,10
2015,second,2,18
2015,second,3,2
2015,second,4,16
2015,second,5,1
2015,second,6,1
2015,second,8,6
2015,second,9,10
2015,second,10,16
2015,third,1,1
2015,third,2,1
2015,third,3,2
2015,third,4,3
2015,third,5,1
2015,third,6,1
2015,third,7,8
2015,third,8,1
2015,third,9,3
2015,third,10,6
2015,adult,1,3
2015,adult,2,3
2015,adult,3,9
2015,adult,4,10
2015,adult,5,7
2015,adult,6,5
2015,adult,7,3
2015,adult,9,3
2015,adult,10,2
2016,second,1,3
2016,second,2,6
2016,second,3,1
2016,second,4,33
2016,second,8,5
2016,second,9,6
2016,second,10,8
2016,third,0,1
2016,third,1,2
2016,third,2,7
2016,third,3,3
2016,third,4,21
2016,third,6,1
2016,third,8,5
2016,third,9,9
2016,third,10,16
2016,adult,1,15
2016,adult,2,12
2016,adult,3,8
2016,adult,4,28
2016,adult,5,3
2016,adult,6,3
2016,adult,8,20
2016,adult,9,6
2016,adult,10,22
2017,second,2,1
2017,second,3,1
